@relation FeatureVectors

@attribute sourceLine numeric
@attribute uniOPERATORCount numeric
@attribute uniOperandCount numeric
@attribute totalOPERATORCount numeric
@attribute totalOperandCount numeric
@attribute totalMethodInvocCount numeric
@attribute libraryMethodInvocCount numeric
@attribute localMethodInvocCount numeric
@attribute otherMethodInvocCount numeric
@attribute totalParameterCount numeric
@attribute isLocalClone numeric
@attribute simFileName numeric
@attribute simMaskedFileName numeric
@attribute simMethodName numeric
@attribute simTotalParaName numeric
@attribute simMaxParaName numeric
@attribute simTotalParaType numeric
@attribute isSameBlockInfo numeric
@attribute simCloneFragments numeric
@attribute this_or_super numeric
@attribute assignment numeric
@attribute identifier numeric
@attribute if_then_statement numeric
@attribute if_then_else_statement numeric
@attribute switch_statement numeric
@attribute while_statement numeric
@attribute do_statement numeric
@attribute for_statement numeric
@attribute STATIC numeric
@attribute SAME numeric
@attribute ADD numeric
@attribute DELETE numeric
@attribute SPLIT numeric
@attribute CONSISTENTCHANGE numeric
@attribute INCONSISTENTCHANGE numeric
@attribute cloneAge numeric
@attribute fragmentCount numeric
@attribute lastSTATIC numeric
@attribute lastSAME numeric
@attribute lastADD numeric
@attribute lastDELETE numeric
@attribute lastSPLIT numeric
@attribute lastCONSISTENTCHANGE numeric
@attribute lastINCONSISTENTCHANGE numeric
@attribute last_sourceLine numeric
@attribute last_fragmentCount numeric
@attribute last_uniOPERATORCount numeric
@attribute last_uniOperandCount numeric
@attribute last_totalOPERATORCount numeric
@attribute last_totalOperandCount numeric
@attribute last_totalMethodInvocCount numeric
@attribute last_libraryMethodInvocCount numeric
@attribute last_localMethodInvocCount numeric
@attribute last_otherMethodInvocCount numeric
@attribute last_totalParameterCount numeric
@attribute last_this_or_super numeric
@attribute last_assignment numeric
@attribute last_identifier numeric
@attribute last_if_then_statement numeric
@attribute last_if_then_else_statement numeric
@attribute last_switch_statement numeric
@attribute last_while_statement numeric
@attribute last_do_statement numeric
@attribute last_for_statement numeric
@attribute fromOrigin_sourceLineP numeric
@attribute fromOrigin_fragmentCountP numeric
@attribute fromOrigin_uniOPERATORCountP numeric
@attribute fromOrigin_uniOperandCountP numeric
@attribute fromOrigin_totalOPERATORCountP numeric
@attribute fromOrigin_totalOperandCountP numeric
@attribute fromOrigin_totalMethodInvocCountP numeric
@attribute fromOrigin_libraryMethodInvocCountP numeric
@attribute fromOrigin_localMethodInvocCountP numeric
@attribute fromOrigin_otherMethodInvocCountP numeric
@attribute fromOrigin_totalParameterCountP numeric
@attribute fromOrigin_this_or_superP numeric
@attribute fromOrigin_assignmentP numeric
@attribute fromOrigin_identifierP numeric
@attribute fromOrigin_if_then_statementP numeric
@attribute fromOrigin_if_then_else_statementP numeric
@attribute fromOrigin_switch_statementP numeric
@attribute fromOrigin_while_statementP numeric
@attribute fromOrigin_do_statementP numeric
@attribute fromOrigin_for_statementP numeric
@attribute fromOrigin_sourceLineN numeric
@attribute fromOrigin_fragmentCountN numeric
@attribute fromOrigin_uniOPERATORCountN numeric
@attribute fromOrigin_uniOperandCountN numeric
@attribute fromOrigin_totalOPERATORCountN numeric
@attribute fromOrigin_totalOperandCountN numeric
@attribute fromOrigin_totalMethodInvocCountN numeric
@attribute fromOrigin_libraryMethodInvocCountN numeric
@attribute fromOrigin_localMethodInvocCountN numeric
@attribute fromOrigin_otherMethodInvocCountN numeric
@attribute fromOrigin_totalParameterCountN numeric
@attribute fromOrigin_this_or_superN numeric
@attribute fromOrigin_assignmentN numeric
@attribute fromOrigin_identifierN numeric
@attribute fromOrigin_if_then_statementN numeric
@attribute fromOrigin_if_then_else_statementN numeric
@attribute fromOrigin_switch_statementN numeric
@attribute fromOrigin_while_statementN numeric
@attribute fromOrigin_do_statementN numeric
@attribute fromOrigin_for_statementN numeric
@attribute consistency numeric

@data
10,14,13,32,22,6,4,0,2,2,0,0.571429,1,0.2,0,0,0,0,0.7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13,11,24,16,4,1,1,1,2,0,0.607893,1,0.18583,0.266605,0,0.283276,0,0.7,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,17,1,0,1,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,12,11,24,16,4,1,1,1,2,0,0.598737,1,0.164671,0.314988,1,0.357896,0,0.7,0,0,2,0,0,0,0,0,0,1,0,2,2,0,0,1,2,23,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,13,12,27,17,5,2,1,1,3,0,0.590403,1,0.168662,0.342336,0.285714,0.431887,0,0.7,0,0,2,0,0,0,0,0,0,1,0,3,3,0,0,2,3,23,0,0,1,1,0,0,1,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,0,0,1,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,12,12,26,17,5,2,1,1,3,0,0.584242,1,0.168822,0.321351,0,0.451673,0,0.7,0,0,3,0,0,0,0,0,0,2,0,4,5,0,0,3,5,19,1,0,0,1,0,0,0,0,1,0,0,-1,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,1,2,1,3,1,1,1,0,0,1,0,0,4,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,12,12,25,17,4,2,1,0,3,0,0.596257,1,0.16508,0.333177,1,0.396924,0,0.7,0,0,2,0,0,0,0,0,0,3,0,5,6,0,1,3,7,23,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,1,1,1,0,0,1,0,0,8,0,0,0,0,0,0,0,4,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,12,12,25,17,4,2,1,1,3,0,0.583276,1,0.148843,0.260703,0,0.309348,0,0.7,0,0,2,0,0,0,0,0,0,3,0,6,7,0,1,4,8,24,0,0,1,1,0,0,1,-1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,1,1,1,0,1,1,0,0,8,0,0,0,0,0,0,0,4,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9,12,13,24,17,4,2,1,1,3,0,0.580269,1,0.145006,0.251096,0,0.273115,0,0.7,0,0,2,0,0,0,0,0,0,3,0,6,8,0,1,5,9,23,0,0,0,1,0,0,1,1,0,-1,1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,1,1,1,0,1,1,0,0,8,0,0,0,0,0,0,1,5,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11,11,14,23,19,4,1,1,1,3,0,0.602904,1,0.167368,0.273348,0,0.297,0,0.7,0,0,2,0,0,0,0,0,0,3,0,7,9,0,2,5,10,23,0,0,1,1,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,3,2,1,1,0,1,1,0,0,8,0,0,0,0,0,0,1,5,3,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11,11,14,23,19,4,1,1,1,3,0,0.617124,1,0.167468,0.257809,0,0.27592,0,0.7,0,0,2,0,0,0,0,0,0,4,0,8,11,0,2,6,12,21,1,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,3,2,3,3,2,1,1,0,1,1,0,0,8,0,0,0,0,0,0,1,7,3,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
