@relation FeatureVectors-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute sourceLine {7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,63,64,65,66,67,68,69,72,73,75,76,77,79,81,82,83,85,87,89,92,95,98,100,102,103,104,111,112,114,116,122,126,133,143,144,146,151,155,161,171,172,191,231,264,290,301}
@attribute uniOPERATORCount {4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,46,47,49,51,53,55,58,59,100,101}
@attribute uniOperandCount {3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,48,49,50,51,52,54,55,58,59,60,61,62,63,67,68,71,72,73,75,76,81,90,99,101,118,287}
@attribute totalOPERATORCount {8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,104,106,107,108,110,111,112,113,114,115,118,119,120,123,124,125,127,129,130,131,132,133,134,136,137,138,139,140,141,145,146,148,150,161,170,171,173,177,178,181,182,184,187,188,196,206,216,220,226,227,235,250,260,273,281,311,323,328,330,741,755}
@attribute totalOperandCount {6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,83,85,86,87,88,92,93,94,95,97,98,99,100,101,102,104,105,106,107,108,109,110,111,114,115,116,118,119,121,124,125,127,128,129,133,135,136,137,142,146,148,149,152,153,155,156,159,161,165,166,172,176,178,182,186,191,193,197,204,211,231,236,238,241,262,263,276,284,300,304,333,461,501,554}
@attribute totalMethodInvocCount {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,49,51,52,57,61,63,64,65,66,74,75,81,100,106,136,145}
@attribute libraryMethodInvocCount {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,35,50,69}
@attribute localMethodInvocCount {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,38,39,40,47,57,60,69,97,132,139}
@attribute otherMethodInvocCount {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,25,26,37}
@attribute totalParameterCount {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35,36,38,39,43,45,47,48,50,51,52,54,69,72,77,129,138}
@attribute isLocalClone {0,1}
@attribute simFileName {0.362832,0.37037,0.383929,0.388889,0.391753,0.4,0.408602,0.413793,0.420168,0.421053,0.421569,0.428571,0.429825,0.430894,0.433628,0.434426,0.436975,0.438596,0.441667,0.446429,0.447154,0.450549,0.450704,0.455357,0.462687,0.463415,0.480392,0.486726,0.486957,0.495049,0.5,0.509615,0.514019,0.514563,0.528571,0.534247,0.540541,0.543689,0.545455,0.551282,0.554455,0.569892,0.571429,0.575342,0.583333,0.584906,0.588235,0.596774,0.6,0.60177,0.605042,0.605769,0.606061,0.607477,0.608333,0.609195,0.61194,0.612903,0.617647,0.617886,0.617977,0.618644,0.619718,0.621053,0.622222,0.625,0.627451,0.632075,0.633803,0.634146,0.6375,0.637681,0.642105,0.64486,0.646552,0.647887,0.648148,0.649573,0.651376,0.651685,0.651786,0.652174,0.656566,0.656863,0.656934,0.657895,0.65942,0.661538,0.661972,0.6625,0.663366,0.663551,0.663934,0.666667,0.670103,0.67033,0.670886,0.671233,0.672,0.677165,0.677419,0.682243,0.682353,0.682927,0.684211,0.6875,0.688889,0.692308,0.697674,0.698113,0.69863,0.7,0.701149,0.704225,0.707317,0.709924,0.710526,0.714286,0.716216,0.716418,0.719101,0.72165,0.722222,0.722892,0.723077,0.723404,0.72449,0.724638,0.725,0.727273,0.731343,0.731481,0.732558,0.734043,0.735632,0.735849,0.736111,0.737374,0.738095,0.741176,0.741935,0.742424,0.74359,0.746479,0.746835,0.75,0.753247,0.755102,0.75641,0.756757,0.757576,0.758621,0.759036,0.759494,0.763889,0.764706,0.765306,0.766667,0.769231,0.770492,0.772152,0.774194,0.775,0.77551,0.777778,0.779221,0.782051,0.783133,0.783505,0.783784,0.784091,0.784615,0.784946,0.785714,0.787879,0.788235,0.788991,0.790123,0.790698,0.791667,0.793814,0.794118,0.79646,0.797297,0.798246,0.8,0.801802,0.802817,0.804348,0.804598,0.805556,0.80597,0.807339,0.808824,0.810811,0.811111,0.811765,0.8125,0.814433,0.815789,0.819444,0.820513,0.821918,0.822222,0.822581,0.823529,0.825,0.825581,0.826667,0.828283,0.830769,0.831683,0.831776,0.833333,0.834951,0.835052,0.835821,0.836957,0.837209,0.8375,0.838235,0.840909,0.841463,0.842105,0.84507,0.846154,0.848837,0.85,0.850575,0.852941,0.853659,0.853933,0.855263,0.855422,0.855556,0.857143,0.858491,0.858974,0.859155,0.859375,0.860465,0.860759,0.861702,0.862069,0.8625,0.863014,0.863636,0.865169,0.865854,0.866667,0.867347,0.86747,0.868421,0.868852,0.869565,0.87013,0.87037,0.870968,0.87234,0.872881,0.873016,0.873239,0.873418,0.873684,0.875,0.876543,0.877193,0.878788,0.87931,0.881188,0.881579,0.882353,0.884058,0.885057,0.885417,0.885714,0.886364,0.887324,0.88764,0.887755,0.888889,0.89011,0.890411,0.890625,0.891304,0.891566,0.893333,0.893617,0.894737,0.896104,0.896552,0.897059,0.897436,0.897727,0.898551,0.898734,0.9,0.901099,0.901235,0.902439,0.902655,0.903509,0.903614,0.903846,0.90411,0.905263,0.905405,0.905882,0.90625,0.908046,0.908163,0.909091,0.91,0.910112,0.910256,0.910448,0.911111,0.911392,0.911765,0.912088,0.9125,0.912621,0.913043,0.91358,0.914634,0.915094,0.915493,0.915789,0.916667,0.917647,0.918033,0.918182,0.918605,0.92,0.921348,0.921875,0.922078,0.922222,0.923077,0.923913,0.924051,0.925,0.927835,0.927928,0.928571,0.929577,0.929825,0.930233,0.930435,0.930693,0.931035,0.932692,0.933333,0.934579,0.935484,0.936364,0.938053,0.938272,0.938776,0.939759,0.941176,0.94186,0.942029,0.942529,0.942857,0.944444,0.945055,0.945946,0.946237,0.946667,0.947368,0.95,0.951613,0.954023,0.954545,0.955224,0.955882,0.956044,0.956522,0.958904,0.959459,0.959596,0.960526,0.961538,0.962025,0.9625,0.962963,0.963855,0.964706,0.965517,0.965909,0.967033,0.968421,0.971698,1}
@attribute simMaskedFileName {0,1}
@attribute simMethodName {0,0.047619,0.05,0.052632,0.058824,0.0625,0.066667,0.071429,0.076923,0.083333,0.090909,0.09375,0.1,0.107143,0.111111,0.125,0.133333,0.142857,0.148148,0.15,0.153846,0.15625,0.157895,0.16,0.166667,0.176471,0.181818,0.1875,0.190476,0.2,0.210526,0.214286,0.222222,0.227273,0.230769,0.235294,0.238095,0.25,0.259259,0.266667,0.272727,0.277778,0.285714,0.3,0.307692,0.315789,0.333333,0.344828,0.352941,0.357143,0.36,0.363636,0.375,0.380952,0.384615,0.392857,0.4,0.411765,0.416667,0.423077,0.428571,0.434783,0.4375,0.444444,0.454545,0.461538,0.466667,0.470588,0.473684,0.47619,0.48,0.5,0.521739,0.526316,0.529412,0.533333,0.538462,0.541667,0.545455,0.55,0.555556,0.558824,0.56,0.5625,0.565217,0.571429,0.583333,0.588235,0.6,0.611111,0.615385,0.619048,0.625,0.636364,0.64,0.642857,0.647059,0.652174,0.666667,0.6875,0.692308,0.695652,0.7,0.705882,0.708333,0.714286,0.72,0.724138,0.727273,0.730769,0.733333,0.736842,0.75,0.76,0.761905,0.764706,0.769231,0.772727,0.789474,0.793103,0.8,0.8125,0.826087,0.842105,0.85,0.857143,0.862069,0.875,0.9,0.923077,0.928571,0.933333,0.9375,0.944444,1}
@attribute simTotalParaName {0,0.058824,0.076923,0.083333,0.090909,0.125,0.142857,0.181818,0.2,0.214286,0.25,0.253968,0.283333,0.333333,0.4,0.5,0.624242,0.661111,0.666667,0.7,0.789474,0.875,0.909091,0.952381,1,1.083333,1.1,1.111111,1.142857,1.166667,1.2,1.222222,1.25,1.266667,1.3,1.333333,1.4,1.428571,1.522727,1.583333,1.585714,1.6,1.625,1.75,1.857143,1.906926,1.909091,1.916667,1.952381,2,2.125,2.142857,2.153846,2.166667,2.181818,2.182684,2.2,2.222222,2.25,2.285714,2.333333,2.363636,2.4,2.428571,2.444444,2.5,2.566667,2.571429,2.625,2.628571,2.666667,2.7,2.714286,2.755556,2.8,2.833333,2.875,2.888889,2.904762,2.909091,3,3.181818,3.25,3.366667,3.4,3.428571,3.5,3.583333,3.6,3.64935,3.65,3.666667,3.72619,3.75,3.8,3.923077,4,4.015385,4.066667,4.131746,4.25,4.266666,4.272727,4.285714,4.333333,4.393939,4.416667,4.5,4.542857,4.555555,4.6,4.666667,4.668254,4.7,4.746032,4.847619,4.875,4.9,4.928571,4.95,5.025974,5.1,5.563131,5.583333,5.671739,5.944445,6,6.449999,6.454546,7.065705,7.333333,7.51111,7.628571,7.798601,8.310135,8.552381,9.219487,9.394011,9.59668,10.666666,10.68889,10.838096,11.394444,13,13.695242,14.123812,24.142431}
@attribute simMaxParaName {0,0.058824,0.076923,0.083333,0.090909,0.125,0.133333,0.142857,0.2,0.214286,0.25,0.333333,0.5,0.533333,0.666667,0.789474,0.8,0.8125,0.857143,0.875,0.909091,1}
@attribute simTotalParaType {0,0.1,0.105263,0.181818,0.1875,0.25,0.3,0.3125,0.363636,0.380952,0.430769,0.486068,0.5,0.526316,0.555556,0.578947,0.689655,0.76,0.765151,0.875,0.894737,0.916667,0.923077,0.933333,0.9375,1,1.1,1.142857,1.166667,1.17619,1.176471,1.181818,1.23718,1.279412,1.285714,1.3,1.3125,1.333333,1.4,1.461538,1.505682,1.552861,1.638095,1.764069,1.858586,1.883333,1.911905,2,2.038095,2.075,2.153846,2.181818,2.2,2.222222,2.25,2.285714,2.3,2.318182,2.322222,2.333333,2.428571,2.553846,2.571429,2.6,2.611111,2.666667,2.705882,2.8,2.888889,2.9,2.933333,3,3.277778,3.333333,3.375,3.428571,3.454545,3.5,3.522451,3.619047,3.707693,3.722222,3.888889,3.933333,4,4.198413,4.208791,4.266666,4.315476,4.333333,4.533333,4.569051,4.571428,4.666667,4.802197,4.84689,4.857142,4.936842,5,5.035714,5.076923,5.1,5.134454,5.25,5.28385,5.444445,5.533333,5.666667,5.681818,5.8,5.888889,6,6.272727,6.281384,6.314286,6.333333,6.5,6.6,7.611111,8,8.945454,9,9.619048,9.833334,9.857142,10,10.5,10.666666,10.857144,11.055554,11.8,11.800001,12,13.969696,15,15.285715,16,17.381866,18.199999,18.229164,18.285713,18.333334,18.862637,20,21.714287,22.285713,26,85.571426}
@attribute isSameBlockInfo {0,1}
@attribute simCloneFragments {0.71,0.714286,0.72,0.727273,0.73,0.733333,0.74,0.75,0.76,0.769231,0.77,0.774194,0.78,0.785714,0.79,0.8,0.81,0.8125,0.82,0.83,0.833333,0.84,0.846154,0.85,0.857143,0.86,0.87,0.88,0.882353,0.89,0.9,0.904762,0.909091,0.91,0.916667,0.92,0.925,0.93,0.94,0.941176,0.947368,0.95,0.96,0.97,0.98,1}
@attribute this_or_super {0,1,2,3,4,5,6,8,9}
@attribute assignment {0,1,2,3,4,5,6,7,8,9,11,12,13,16,18,27,30,56,57,147}
@attribute identifier {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,38,42,44,47,54,72,74,80,86,105,141,253,296,302}
@attribute if_then_statement {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}
@attribute if_then_else_statement {0,1,2,3,4,5,6,7,8,9,18,39,41}
@attribute switch_statement {0,1,2,3,4,5}
@attribute while_statement {0,1,2,3,4,5}
@attribute do_statement {0,1,2}
@attribute for_statement {0,1,2,3,4,5,7}
@attribute consistency {0,1}

@data
301,100,99,755,554,136,4,132,0,129,0,0.731343,1,1,1,1,1,1,0.71,0,56,296,1,39,1,0,0,1,0
301,100,99,755,554,136,4,132,0,129,0,0.731343,1,1,1,1,1,1,0.71,0,56,296,1,39,1,0,0,1,0
264,36,90,311,276,106,9,97,0,77,0,0.75,1,1,1,1,1,1,0.81,0,3,32,1,8,5,0,1,0,0
231,36,68,323,304,81,12,69,0,47,1,1,0,0.7,1,1,1,0,0.72,0,12,44,9,8,2,0,0,0,0
114,29,101,220,333,27,2,17,8,22,0,0.661538,1,1,1,1,1,1,0.85,0,6,141,4,0,2,0,1,0,0
114,29,101,220,333,27,2,17,8,22,0,0.661538,1,1,1,1,1,1,0.85,0,6,141,4,0,2,0,1,0,0
114,29,101,220,333,27,2,17,8,22,0,0.661538,1,1,1,1,1,1,0.85,0,6,141,4,0,2,0,1,0,0
114,29,101,220,333,27,2,17,8,22,0,0.661538,1,1,1,1,1,1,0.85,0,6,141,4,0,2,0,1,0,0
191,20,61,187,262,34,0,32,2,27,1,1,0,0.588235,1,1,1,0,0.73,0,1,15,4,0,5,0,0,0,0
171,26,118,173,284,16,0,16,0,11,1,1,0,0.157895,1,1,1,0,0.95,0,1,11,1,1,2,0,1,0,0
161,31,61,177,211,39,1,38,0,25,1,1,0,0.352941,1,1,1,1,0.77,0,5,20,1,2,5,0,0,0,0
155,29,62,182,236,29,10,19,0,16,0,0.75,1,1,1,1,1,1,0.79,0,0,15,5,0,3,0,0,0,0
144,40,45,226,178,66,8,57,1,50,1,1,0,0.352941,1,1,1,0,0.73,0,6,34,5,4,4,0,0,0,1
144,40,45,226,178,66,8,57,1,50,1,1,0,0.352941,1,1,1,0,0.73,0,6,34,5,4,4,0,0,0,1
133,32,52,273,204,64,0,60,4,51,0,0.731343,1,1,1,1,1,1,0.85,0,3,105,1,8,1,0,1,0,0
116,32,52,178,165,42,0,38,4,24,1,1,0,0.333333,1,1,1,0,0.82,0,4,54,1,4,4,0,2,0,0
116,21,40,101,121,25,3,22,0,19,0,0.75,1,1,1,1,1,1,0.91,0,2,11,3,0,2,0,0,0,0
111,30,37,196,149,43,2,40,1,36,0,0.731343,1,1,1,1,1,1,0.72,0,9,74,5,7,2,0,1,0,0
143,46,39,328,231,100,69,8,23,54,0,0.75641,1,1,2.181818,1,2,1,0.93,0,18,16,16,2,0,4,0,5,1
104,13,72,96,155,11,0,11,0,6,1,1,0,0.538462,1,1,1,1,0.72,0,0,7,0,0,2,0,0,0,0
104,13,72,96,155,11,0,11,0,6,1,1,0,0.538462,1,1,1,1,0.72,0,0,7,0,0,2,0,0,0,0
104,13,72,96,155,11,0,11,0,6,1,1,0,0.538462,1,1,1,1,0.72,0,0,7,0,0,2,0,0,0,0
104,13,72,96,155,11,0,11,0,6,1,1,0,0.538462,1,1,1,1,0.72,0,0,7,0,0,2,0,0,0,0
104,13,72,96,155,11,0,11,0,6,1,1,0,0.538462,1,1,1,1,0.72,0,0,7,0,0,2,0,0,0,0
104,13,72,96,155,11,0,11,0,6,1,1,0,0.538462,1,1,1,1,0.72,0,0,7,0,0,2,0,0,0,0
104,13,72,96,155,11,0,11,0,6,1,1,0,0.538462,1,1,1,1,0.72,0,0,7,0,0,2,0,0,0,0
104,13,72,96,155,11,0,11,0,6,1,1,0,0.538462,1,1,1,1,0.72,0,0,7,0,0,2,0,0,0,0
104,13,72,96,155,11,0,11,0,6,1,1,0,0.538462,1,1,1,1,0.72,0,0,7,0,0,2,0,0,0,0
104,13,72,96,155,11,0,11,0,6,1,1,0,0.538462,1,1,1,1,0.72,0,0,7,0,0,2,0,0,0,0
104,13,72,96,155,11,0,11,0,6,1,1,0,0.538462,1,1,1,1,0.72,0,0,7,0,0,2,0,0,0,0
104,13,72,96,155,11,0,11,0,6,1,1,0,0.538462,1,1,1,1,0.72,0,0,7,0,0,2,0,0,0,0
104,13,72,96,155,11,0,11,0,6,1,1,0,0.538462,1,1,1,1,0.72,0,0,7,0,0,2,0,0,0,0
104,13,72,96,155,11,0,11,0,6,1,1,0,0.538462,1,1,1,1,0.72,0,0,7,0,0,2,0,0,0,0
104,13,72,96,155,11,0,11,0,6,1,1,0,0.538462,1,1,1,1,0.72,0,0,7,0,0,2,0,0,0,0
104,13,72,96,155,11,0,11,0,6,1,1,0,0.538462,1,1,1,1,0.72,0,0,7,0,0,2,0,0,0,0
104,20,75,112,159,18,0,16,2,13,1,1,0,0.176471,1,1,1,0,0.72,0,1,6,2,0,2,0,0,0,0
104,20,75,112,159,18,0,16,2,13,1,1,0,0.176471,1,1,1,0,0.72,0,1,6,2,0,2,0,0,0,0
102,17,38,120,161,21,0,21,0,20,0,0.75,1,1,1,1,1,1,0.71,0,18,30,9,0,1,0,0,0,0
103,24,50,104,108,30,2,28,0,23,0,0.75,1,1,1,1,1,1,0.71,0,0,9,0,3,1,0,1,0,0
53,14,76,92,156,9,0,9,0,13,1,1,0,1,1,1,1,1,0.81,0,0,80,0,1,1,0,1,0,0
50,9,71,80,148,6,0,6,0,9,1,1,0,1,1,1,1,1,0.81,0,0,74,0,0,1,0,1,0,0
95,21,81,89,149,8,0,8,0,4,0,0.75,1,1,1,1,1,1,0.8,0,0,4,0,1,1,0,1,0,0
45,9,71,77,146,5,0,5,0,8,1,1,0,1,1,1,1,1,0.74,0,0,72,0,0,1,0,1,0,0
45,9,71,77,146,5,0,5,0,8,1,1,0,1,1,1,1,1,0.74,0,0,72,0,0,1,0,1,0,0
45,9,71,77,146,5,0,5,0,8,1,1,0,1,1,1,1,1,0.8,0,0,72,0,0,1,0,1,0,0
92,19,50,79,109,16,1,15,0,11,0,0.75,1,1,1,1,1,1,0.91,0,0,6,0,1,2,0,1,0,0
89,19,60,86,124,14,0,13,1,11,1,1,0,0.588235,1,1,1,0,0.71,0,0,6,2,0,2,0,0,0,1
89,19,60,86,124,14,0,13,1,11,1,1,0,0.588235,1,1,1,0,0.71,0,0,6,2,0,2,0,0,0,1
89,19,60,86,124,14,0,13,1,11,1,1,0,0.588235,1,1,1,0,0.71,0,0,6,2,0,2,0,0,0,1
89,19,60,86,124,14,0,13,1,11,1,1,0,0.588235,1,1,1,0,0.71,0,0,6,2,0,2,0,0,0,1
89,19,60,86,124,14,0,13,1,11,1,1,0,0.588235,1,1,1,0,0.71,0,0,6,2,0,2,0,0,0,1
89,19,60,86,124,14,0,13,1,11,1,1,0,0.588235,1,1,1,0,0.71,0,0,6,2,0,2,0,0,0,1
89,19,60,86,124,14,0,13,1,11,1,1,0,0.588235,1,1,1,0,0.71,0,0,6,2,0,2,0,0,0,1
89,19,60,86,124,14,0,13,1,11,1,1,0,0.588235,1,1,1,0,0.71,0,0,6,2,0,2,0,0,0,1
89,19,60,86,124,14,0,13,1,11,1,1,0,0.588235,1,1,1,0,0.71,0,0,6,2,0,2,0,0,0,1
89,19,60,86,124,14,0,13,1,11,1,1,0,0.588235,1,1,1,0,0.71,0,0,6,2,0,2,0,0,0,1
89,19,60,86,124,14,0,13,1,11,1,1,0,0.588235,1,1,1,0,0.71,0,0,6,2,0,2,0,0,0,1
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
87,24,73,101,142,14,1,13,0,12,1,1,0,0.157895,1,1,1,0,0.71,0,1,13,1,3,1,0,1,0,0
85,25,58,89,114,16,1,15,0,10,1,1,0,1,1,1,1,0,0.85,0,2,11,1,0,2,0,0,0,0
81,21,67,91,128,12,2,9,1,9,1,1,0,1,1,1,1,1,0.8,0,1,8,1,1,1,0,1,0,0
83,20,54,79,106,15,1,14,0,11,0,0.75,1,0.5,1,1,1,1,0.85,0,0,7,0,1,2,0,1,0,0
83,20,54,79,106,15,1,14,0,11,0,0.75,1,0.5,1,1,1,1,0.85,0,0,7,0,1,2,0,1,0,0
67,32,46,114,111,26,0,22,4,15,0,0.462687,1,0.333333,1,1,1,0,0.79,0,3,34,1,2,2,0,1,0,0
67,32,46,114,111,26,0,22,4,15,0,0.462687,1,0.333333,1,1,1,0,0.79,0,3,34,1,2,2,0,1,0,0
67,32,46,114,111,26,0,22,4,15,0,0.462687,1,0.333333,1,1,1,0,0.79,0,3,34,1,2,2,0,1,0,0
67,32,46,114,111,26,0,22,4,15,0,0.462687,1,0.333333,1,1,1,0,0.79,0,3,34,1,2,2,0,1,0,0
67,32,46,114,111,26,0,22,4,15,0,0.462687,1,0.333333,1,1,1,0,0.79,0,3,34,1,2,2,0,1,0,0
77,28,50,100,106,28,1,27,0,21,1,1,0,0.4,1,1,1,0,0.71,0,5,16,1,2,2,0,0,0,0
76,26,62,76,116,14,3,11,0,12,1,1,0,0.307692,1,1,1,1,0.86,0,3,5,0,1,1,0,0,0,0
65,31,44,130,115,28,0,22,6,16,0,0.731343,1,1,1,1,1,1,0.76,0,4,34,3,4,1,0,1,0,0
75,32,34,140,98,41,3,31,7,30,0,0.75,1,0.235294,1,1,1,0,0.71,0,7,17,2,2,2,0,0,0,0
75,32,34,140,98,41,3,31,7,30,0,0.75,1,0.235294,1,1,1,0,0.71,0,7,17,2,2,2,0,0,0,0
65,23,55,75,101,11,1,10,0,8,0,0.75,1,1,1,1,1,1,0.82,0,0,8,0,2,1,0,1,0,0
75,30,51,171,197,37,21,16,0,29,0,0.808824,1,0.380952,2.142857,1,3,1,0.81,1,30,33,0,0,0,0,0,1,0
61,22,49,73,95,11,1,10,0,8,1,1,0,1,1,1,1,0,0.71,0,0,8,0,2,1,0,1,0,0
61,22,49,73,95,11,1,10,0,8,1,1,0,1,1,1,1,0,0.71,0,0,8,0,2,1,0,1,0,0
61,22,49,73,95,11,1,10,0,8,1,1,0,1,1,1,1,0,0.71,0,0,8,0,2,1,0,1,0,0
61,22,49,73,95,11,1,10,0,8,1,1,0,1,1,1,1,0,0.71,0,0,8,0,2,1,0,1,0,0
61,22,49,73,95,11,1,10,0,8,1,1,0,1,1,1,1,0,0.71,0,0,8,0,2,1,0,1,0,0
61,22,49,73,95,11,1,10,0,8,1,1,0,1,1,1,1,0,0.71,0,0,8,0,2,1,0,1,0,0
61,22,49,73,95,11,1,10,0,8,1,1,0,1,1,1,1,0,0.71,0,0,8,0,2,1,0,1,0,0
61,22,49,73,95,11,1,10,0,8,1,1,0,1,1,1,1,0,0.71,0,0,8,0,2,1,0,1,0,0
61,22,49,73,95,11,1,10,0,8,1,1,0,1,1,1,1,0,0.71,0,0,8,0,2,1,0,1,0,0
61,22,49,73,95,11,1,10,0,8,1,1,0,1,1,1,1,0,0.71,0,0,8,0,2,1,0,1,0,0
