@relation FeatureVectors-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute sourceLine {9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,53,54,55,56,57,58,60,63,66,68,72,82,83,87,90,91,94,95,97,99,101,102,105,109,114,122,136,164,178}
@attribute uniOPERATORCount {2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,48,49,54,55,56,59,60,62,65,66,68,69}
@attribute uniOperandCount {4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,38,39,40,41,42,43,44,45,47,48,49,50,51,52,53,56,58,59,60,61,63,64,65,66,67,76,88}
@attribute totalOPERATORCount {10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,71,72,73,74,75,76,77,78,79,80,81,83,84,85,86,87,88,89,91,92,93,94,95,96,97,98,99,100,102,103,105,106,107,110,111,112,114,115,117,118,119,120,121,122,124,125,126,127,129,131,136,138,139,141,142,144,146,149,157,160,161,162,165,166,171,172,174,177,187,189,191,194,202,204,213,225,236,237,243,246,260,263,267,268,291,297,299,312,313,317,319,330,335,339,348,508}
@attribute totalOperandCount {10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,68,69,71,72,74,75,77,78,80,81,83,84,87,88,89,90,91,92,93,94,95,100,101,104,105,106,107,111,113,115,116,117,118,120,122,125,126,127,128,129,133,135,136,138,142,143,147,150,151,160,161,163,165,166,167,173,174,175,179,183,188,190,198,200,210,213,216,221,223,225,228,238,240,260,262,270,272,281,289,299,300,302,328,417,465,474}
@attribute totalMethodInvocCount {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,44,46,47,48,50,51,52,54,56,60,61,62,63,64,69,70,72,74,75,77,79,80,81,84,128}
@attribute libraryMethodInvocCount {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,23,25,26,32,33,35,38,39,40,41,43,44,45,49,63,67,68}
@attribute localMethodInvocCount {0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,20,21,22,23,24,36,45}
@attribute otherMethodInvocCount {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,36,38,43,50}
@attribute totalParameterCount {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,33,34,36,37,38,39,40,41,42,43,44,46,47,48,51,52,53,54,55,65,68,69,94,108}
@attribute isLocalClone {0,1}
@attribute simFileName {0.475,0.482353,0.4875,0.505155,0.505747,0.51087,0.514706,0.515152,0.51579,0.52381,0.528736,0.537634,0.542169,0.542553,0.548387,0.557377,0.557692,0.56,0.563218,0.565789,0.566667,0.568182,0.571429,0.573333,0.575342,0.576471,0.576923,0.585714,0.588235,0.590361,0.590909,0.602273,0.603448,0.604938,0.608108,0.61039,0.614286,0.616279,0.616667,0.618182,0.619718,0.621212,0.626667,0.628866,0.633333,0.636364,0.6375,0.638889,0.647059,0.648148,0.648649,0.653846,0.655172,0.657534,0.658228,0.658537,0.6625,0.663043,0.671429,0.679487,0.681159,0.685185,0.686747,0.689655,0.692308,0.693333,0.69697,0.698795,0.698925,0.709677,0.714286,0.715789,0.716418,0.716981,0.72,0.725275,0.729412,0.731707,0.73494,0.736111,0.7375,0.737705,0.737864,0.738636,0.745763,0.746032,0.746269,0.746835,0.753247,0.753846,0.75641,0.757895,0.761194,0.762376,0.7625,0.763441,0.765432,0.771429,0.774194,0.774648,0.775862,0.77907,0.784091,0.784615,0.785714,0.788235,0.788732,0.792208,0.796875,0.797297,0.8,0.803279,0.806818,0.807229,0.808219,0.808824,0.809524,0.8125,0.813333,0.814433,0.815217,0.818182,0.822581,0.826667,0.828125,0.829268,0.829787,0.830769,0.830986,0.831579,0.835294,0.840336,0.84127,0.842697,0.842857,0.843137,0.84375,0.844156,0.844444,0.844828,0.84507,0.845361,0.849462,0.852459,0.85567,0.857143,0.86,0.860759,0.861386,0.8625,0.862745,0.863014,0.863636,0.864865,0.865169,0.868132,0.87037,0.873016,0.873239,0.875,0.87963,0.881579,0.88172,0.882353,0.884058,0.884297,0.884615,0.885057,0.885246,0.887097,0.88764,0.891304,0.891566,0.892308,0.895522,0.897727,0.9,0.903226,0.90411,0.904762,0.90566,0.906667,0.907692,0.908046,0.908163,0.910891,0.9125,0.91358,0.915493,0.916667,0.917647,0.918033,0.918367,0.919355,0.92,0.920455,0.923077,0.924051,0.924242,0.924731,0.925532,0.926316,0.927536,0.928571,0.929412,0.934066,0.934211,0.934783,0.935897,0.936508,0.936709,0.9375,0.938144,0.940298,0.942529,0.943662,0.943925,0.946667,0.947368,0.948052,0.95,0.950617,0.951807,0.952381,0.952941,0.955882,0.956522,0.956989,0.959459,0.960784,0.964912,0.970149,0.971429,0.972973,0.974684,0.97619,0.98,0.980198,0.980392,0.984615,0.984848,0.985714,0.985915,0.986842,0.989011,0.989691,1}
@attribute simMaskedFileName {0,1}
@attribute simMethodName {0,0.045455,0.055556,0.058824,0.0625,0.066667,0.076923,0.083333,0.090909,0.1,0.111111,0.125,0.133333,0.136364,0.153846,0.157895,0.162162,0.166667,0.181818,0.185185,0.2,0.210526,0.214286,0.222222,0.230769,0.25,0.266667,0.272727,0.285714,0.307692,0.3125,0.333333,0.352941,0.357143,0.363636,0.368421,0.375,0.384615,0.388889,0.391304,0.4,0.411765,0.416667,0.428571,0.4375,0.444444,0.454545,0.458333,0.466667,0.46875,0.470588,0.47619,0.5,0.526316,0.53125,0.533333,0.538462,0.545455,0.555556,0.56,0.571429,0.578947,0.583333,0.590909,0.6,0.615385,0.636364,0.642857,0.666667,0.684211,0.692308,0.7,0.705882,0.714286,0.733333,0.75,0.761905,0.764706,0.769231,0.782609,0.8,0.807692,0.8125,0.833333,0.857143,0.875,0.888889,0.9,0.909091,0.923077,1}
@attribute simTotalParaName {0,0.1,0.111111,0.125,0.142857,0.166667,0.2,0.214286,0.222222,0.25,0.285714,0.309524,0.325,0.333333,0.353846,0.366667,0.375,0.4,0.444444,0.685714,0.767857,0.819048,0.85,1,1.071429,1.090909,1.111111,1.125,1.166667,1.2,1.222222,1.25,1.285714,1.333333,1.342857,1.430556,1.461539,1.555556,1.574675,1.583333,1.792308,1.9,2,2.133333,2.181818,2.2,2.222222,2.25,2.285714,2.307692,2.333333,2.352941,2.375,2.4,2.571429,2.615385,2.666667,2.688889,2.705882,2.781818,2.8,2.821212,2.923077,3,3.076923,3.083333,3.230769,3.294118,3.333333,3.461539,3.469841,3.480769,3.5,3.6,3.622222,3.75,3.823529,3.971428,4,4.142857,4.228571,4.238095,4.257143,4.269048,4.285714,4.350649,4.357142,4.416667,4.476191,4.5,4.6,4.813853,5,5.015873,5.181818,5.397436,5.523809,5.6,5.638095,5.75,5.942856,6.233333,6.325,6.5,6.552381,6.590476,7.009804,7.123808,7.566666,7.6,7.666666,8.178572,8.409524,8.60606,8.979486,8.989285,9.257142,9.307359,10.548052,10.942858,11.583334,11.924999,12.099999,12.383333,12.557141,18.041269,23.638163,44}
@attribute simMaxParaName {0,0.1,0.111111,0.125,0.142857,0.166667,0.2,0.214286,0.222222,0.25,0.285714,0.3,0.333333,0.4,0.444444,0.5,0.857143,1}
@attribute simTotalParaType {0,0.066667,0.076923,0.090909,0.1,0.130435,0.142857,0.153846,0.166667,0.1875,0.2,0.227273,0.235294,0.235698,0.242857,0.285714,0.3,0.333333,0.35,0.357143,0.4375,0.444444,0.45,0.452381,0.466667,0.470588,0.5,0.538462,0.555556,0.590374,0.6,0.625,0.636364,0.642857,0.6875,0.692308,0.75,0.761905,0.78,0.833333,0.9,1,1.008421,1.142857,1.166667,1.181818,1.2,1.222222,1.25,1.272727,1.294118,1.3,1.333333,1.363636,1.366667,1.375,1.392857,1.416667,1.460227,1.464286,1.466667,1.5,1.529412,1.565217,1.638889,1.6625,1.666667,1.769231,1.959276,2,2.153846,2.166667,2.2,2.222222,2.25,2.25641,2.266667,2.285714,2.333333,2.363636,2.384615,2.4,2.461538,2.479854,2.552381,2.571429,2.666667,2.695652,2.761905,2.769231,2.888889,2.923077,2.933333,3,3.133333,3.142857,3.2,3.230769,3.5,3.595238,3.6,3.65,3.666667,3.82381,3.833333,4,4.031746,4.266667,4.285714,4.371429,4.5,4.733333,4.733334,4.75,4.769231,4.888889,4.971428,5,5.190476,5.301587,5.363636,5.412698,5.571428,5.589744,5.666667,5.922078,6.190476,6.444445,6.571095,6.666667,6.726496,7,7.164773,8.133333,8.523809,8.555555,8.577778,9,9.083334,9.2,9.415584,9.666667,9.933332,10.285713,10.412699,10.725001,11,11.2,11.333333,11.5,13,13.166665,13.428572,13.641666,14.199999,14.5,14.707071,16.349998,21.654762,39.999985,89.444504,106}
@attribute isSameBlockInfo {0,1}
@attribute simCloneFragments {0.7,0.71,0.72,0.73,0.733333,0.74,0.75,0.76,0.761905,0.764706,0.77,0.777778,0.78,0.78125,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.857143,0.86,0.868421,0.87,0.88,0.89,0.9,0.909091,0.91,0.92,0.923077,0.928571,0.93,0.94,0.95,0.96,0.97,1}
@attribute this_or_super {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,34,38,39,40,51}
@attribute assignment {0,1,2,3,4,5,6,7,8,9,10,11,12,14,16,18,31,38,64,68}
@attribute identifier {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,34,35,36,38,39,40,46,47,49,51,55,62,75,79}
@attribute if_then_statement {0,1,2,3,4,5,6,7,8,9,10,11,12,13,21}
@attribute if_then_else_statement {0,1,2,3,4,5,9}
@attribute switch_statement {0,1,2}
@attribute while_statement {0,1,2,3}
@attribute do_statement {0}
@attribute for_statement {0,1,2,3,4,5,6,7,8}
@attribute consistency {0,1}

@data
122,55,67,335,299,81,67,5,9,43,0,0.927536,1,1,1,1,1,1,0.85,0,7,30,5,2,0,1,0,0,1
122,48,64,213,216,64,3,45,16,31,0,0.98,1,1,1,1,1,1,0.76,0,4,34,3,1,0,0,0,8,1
122,48,64,213,216,64,3,45,16,31,0,0.98,1,1,1,1,1,1,0.76,0,4,34,3,1,0,0,0,8,1
91,39,59,191,160,54,17,15,22,33,0,0.98,1,1,7.009804,1,11,1,0.92,0,0,47,8,0,1,0,0,1,1
91,39,59,191,160,54,17,15,22,33,0,0.98,1,1,7.009804,1,11,1,0.92,0,0,47,8,0,1,0,0,1,1
109,48,39,187,143,70,18,36,16,44,0,0.980392,1,1,1,1,1,1,0.89,3,4,30,5,0,0,0,0,4,1
68,37,29,194,129,47,18,3,26,15,0,0.980392,1,1,1,1,1,1,1,0,5,9,10,0,0,2,0,2,0
55,28,25,125,128,21,14,7,0,21,0,0.633333,1,0.181818,0,0,0,1,0.7,20,6,4,0,0,0,0,0,0,1
66,37,38,144,116,36,18,9,9,13,0,0.980392,1,1,5.015873,1,5.922078,1,0.81,0,7,23,10,1,0,0,0,2,1
51,42,34,138,88,36,19,13,4,10,0,0.857143,1,1,1,1,1,1,0.79,0,2,8,7,0,0,0,0,0,1
51,42,34,138,88,36,19,13,4,10,0,0.857143,1,1,1,1,1,1,0.79,0,2,8,7,0,0,0,0,0,1
58,24,30,93,100,14,0,11,3,5,0,0.98,1,1,2.352941,1,2.461538,1,0.77,0,4,34,11,0,0,0,0,0,0
58,24,30,93,100,14,0,11,3,5,0,0.98,1,1,2.352941,1,2.461538,1,0.77,0,4,34,11,0,0,0,0,0,0
63,21,38,68,87,23,0,23,0,7,0,0.98,1,1,1,1,1,1,1,3,7,20,1,0,0,0,0,5,0
55,21,42,86,100,14,1,10,3,8,0,0.98,1,1,11.583334,1,10.725001,1,0.9,0,3,30,9,0,0,0,0,0,1
55,21,42,86,100,14,1,10,3,8,0,0.98,1,1,11.583334,1,10.725001,1,0.9,0,3,30,9,0,0,0,0,0,1
51,15,25,64,72,12,0,9,3,5,0,0.98,1,1,2,1,2,1,0.97,0,2,25,11,0,0,0,0,0,1
45,30,34,146,105,39,12,10,17,8,0,0.692308,1,0.555556,0,0,0,1,0.72,0,0,4,0,0,0,0,0,4,1
40,14,27,45,65,7,0,7,0,2,0,0.98,1,1,2,1,2,1,1,0,3,23,5,0,1,0,0,0,1
39,27,21,71,67,17,3,4,10,18,0,0.588235,1,0.162162,1.583333,1,1.666667,0,0.79,0,11,8,3,1,0,0,0,1,0
27,11,20,38,52,1,0,0,1,0,0,0.980392,1,1,1,1,1,1,1,0,7,8,0,0,1,0,0,0,0
41,24,41,60,81,14,0,13,1,7,0,0.98,1,1,2.25,1,2,1,0.85,0,0,14,1,0,0,0,0,1,1
41,24,41,60,81,14,0,13,1,7,0,0.98,1,1,2.25,1,2,1,0.85,0,0,14,1,0,0,0,0,1,1
27,10,22,55,53,0,0,0,0,0,0,0.98,1,1,1,1,1,1,1,0,7,8,0,0,1,0,0,0,1
27,10,22,55,53,0,0,0,0,0,0,0.98,1,1,1,1,1,1,1,0,7,8,0,0,1,0,0,0,1
22,18,17,71,63,14,2,0,12,3,0,0.98,1,1,3.75,1,7,1,1,0,0,7,4,0,0,0,0,3,0
22,18,17,71,63,14,2,0,12,3,0,0.98,1,1,3.75,1,7,1,1,0,0,7,4,0,0,0,0,3,0
25,14,17,117,74,21,7,0,14,14,0,0.98,1,1,2.307692,1,3,1,1,0,0,28,7,0,0,0,0,0,1
25,14,17,117,74,21,7,0,14,14,0,0.98,1,1,2.307692,1,3,1,1,0,0,28,7,0,0,0,0,0,1
39,18,16,81,48,20,7,4,9,4,0,0.980392,1,1,2.705882,1,2.769231,1,1,0,4,12,7,0,0,0,0,0,0
46,24,20,66,46,24,5,10,9,12,0,0.980392,1,1,1,1,1,1,1,0,2,11,2,0,0,0,0,1,1
25,17,19,37,54,5,0,4,1,1,0,0.98,1,1,1,1,1,1,0.95,0,8,8,2,0,0,0,0,2,0
23,15,26,38,48,8,8,0,0,4,0,0.621212,1,1,2.25,1,2.25,1,0.95,0,0,1,0,0,0,0,0,0,0
26,19,16,50,40,11,2,4,5,4,0,0.980392,1,1,1,1,1,1,1,0,3,11,5,1,0,0,0,0,1
24,30,19,55,47,12,2,5,5,2,0,0.918033,1,1,3.333333,1,7,1,0.72,0,4,2,3,0,0,0,0,1,0
24,30,19,55,47,12,2,5,5,2,0,0.918033,1,1,3.333333,1,7,1,0.72,0,4,2,3,0,0,0,0,1,0
19,22,13,54,22,14,10,3,1,3,0,0.857143,1,1,1,1,1,1,0.72,0,0,0,2,0,0,0,0,0,1
19,22,13,54,22,14,10,3,1,3,0,0.857143,1,1,1,1,1,1,0.72,0,0,0,2,0,0,0,0,0,1
19,22,13,54,22,14,10,3,1,3,0,0.857143,1,1,1,1,1,1,0.72,0,0,0,2,0,0,0,0,0,1
19,21,15,61,46,12,2,2,8,1,1,1,0,0.8,1,1,1,1,0.76,0,3,3,3,2,0,0,0,1,0
19,21,15,61,46,12,2,2,8,1,1,1,0,0.8,1,1,1,1,0.76,0,3,3,3,2,0,0,0,1,0
19,21,15,61,46,12,2,2,8,1,1,1,0,0.8,1,1,1,1,0.76,0,3,3,3,2,0,0,0,1,0
21,10,19,26,38,1,0,0,1,0,0,0.887097,1,1,1,1,1,1,0.76,0,5,6,0,0,1,0,0,0,0
18,19,15,58,45,12,2,0,10,1,0,0.689655,1,1,1.9,1,0.6875,1,0.84,0,3,3,2,2,0,0,0,1,0
15,12,20,27,32,6,6,0,0,1,0,0.590909,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
19,24,22,120,69,34,19,0,15,6,0,0.980392,1,1,1,1,1,1,1,0,1,11,0,0,0,1,0,1,0
17,28,19,75,43,21,10,3,8,16,1,1,0,0.5,1,1,1,1,0.88,2,0,3,1,2,0,0,0,0,0
19,15,19,21,49,2,0,1,1,6,0,0.98,1,1,1,1,1,1,1,0,6,10,1,0,0,0,0,1,0
15,11,17,27,43,2,2,0,0,2,0,0.716981,1,0.642857,1,1,1,1,0.76,3,2,3,1,1,0,0,0,1,0
15,11,17,27,43,2,2,0,0,2,0,0.716981,1,0.642857,1,1,1,1,0.76,3,2,3,1,1,0,0,0,1,0
18,27,21,73,34,19,11,3,5,6,0,0.951807,1,1,1,1,1,1,0.777778,5,1,1,2,0,0,1,0,0,0
18,27,21,73,34,19,11,3,5,6,0,0.951807,1,1,1,1,1,1,0.777778,5,1,1,2,0,0,1,0,0,0
18,21,24,42,41,10,1,6,3,3,0,0.98,1,1,2,1,2,1,1,0,0,4,1,0,0,0,0,1,1
18,21,24,42,41,10,1,6,3,3,0,0.98,1,1,2,1,2,1,1,0,0,4,1,0,0,0,0,1,1
18,20,14,32,28,8,0,1,7,9,0,0.919355,1,1,10.548052,1,11.2,1,0.73,0,2,1,1,1,0,1,0,0,1
18,20,14,32,28,8,0,1,7,9,0,0.919355,1,1,10.548052,1,11.2,1,0.73,0,2,1,1,1,0,1,0,0,1
18,20,14,32,28,8,0,1,7,9,0,0.919355,1,1,10.548052,1,11.2,1,0.73,0,2,1,1,1,0,1,0,0,1
14,16,16,32,37,4,3,0,1,3,1,1,0,0.666667,1,1,1,1,0.8,3,1,4,2,0,0,0,0,1,0
17,27,20,57,31,16,8,2,6,4,0,0.923077,1,1,1,1,1,1,0.86,3,1,0,1,0,0,1,0,0,0
24,17,19,43,42,12,4,6,2,7,0,0.980392,1,1,1,1,1,1,1,0,0,7,0,0,0,0,0,1,1
15,11,15,17,24,1,0,1,0,0,0,0.98,1,1,2,1,2,1,1,0,0,7,1,0,1,0,0,0,1
15,11,15,17,24,1,0,1,0,0,0,0.98,1,1,2,1,2,1,1,0,0,7,1,0,1,0,0,0,1
14,24,18,46,41,8,2,2,4,1,1,1,0,1,1.333333,1,1.25,1,0.73,0,1,2,2,0,0,0,0,1,0
13,16,13,39,40,5,5,0,0,4,0,0.843137,1,1,1,1,1,1,1,5,1,3,1,0,0,0,0,2,0
13,18,12,53,35,12,5,0,7,4,0,0.603448,1,1,1,1,1,1,0.93,0,1,3,1,0,0,0,0,2,0
13,18,12,53,35,12,5,0,7,4,0,0.603448,1,1,1,1,1,1,0.93,0,1,3,1,0,0,0,0,2,0
18,19,15,40,32,10,3,2,5,4,0,0.90411,1,1,1,1,1,1,0.92,0,1,6,2,0,0,0,0,0,1
18,19,15,40,32,10,3,2,5,4,0,0.90411,1,1,1,1,1,1,0.92,0,1,6,2,0,0,0,0,0,1
18,19,15,40,32,10,3,2,5,4,0,0.90411,1,1,1,1,1,1,0.92,0,1,6,2,0,0,0,0,0,1
15,10,14,15,32,2,0,2,0,1,0,0.98,1,1,1,1,1,1,1,0,3,2,0,1,0,0,0,0,1
15,10,14,15,32,2,0,2,0,1,0,0.98,1,1,1,1,1,1,1,0,3,2,0,1,0,0,0,0,1
14,19,7,27,11,9,3,4,2,0,0,0.693333,1,0.0625,0.125,0.125,0.466667,1,0.71,0,0,0,1,0,0,0,0,0,1
14,19,7,27,11,9,3,4,2,0,0,0.693333,1,0.0625,0.125,0.125,0.466667,1,0.71,0,0,0,1,0,0,0,0,0,1
14,19,7,27,11,9,3,4,2,0,0,0.693333,1,0.0625,0.125,0.125,0.466667,1,0.71,0,0,0,1,0,0,0,0,0,1
14,19,7,27,11,9,3,4,2,0,0,0.693333,1,0.0625,0.125,0.125,0.466667,1,0.71,0,0,0,1,0,0,0,0,0,1
14,19,7,27,11,9,3,4,2,0,0,0.693333,1,0.0625,0.125,0.125,0.466667,1,0.71,0,0,0,1,0,0,0,0,0,1
14,19,7,27,11,9,3,4,2,0,0,0.693333,1,0.0625,0.125,0.125,0.466667,1,0.71,0,0,0,1,0,0,0,0,0,1
14,19,7,27,11,9,3,4,2,0,0,0.693333,1,0.0625,0.125,0.125,0.466667,1,0.71,0,0,0,1,0,0,0,0,0,1
14,19,7,27,11,9,3,4,2,0,0,0.693333,1,0.0625,0.125,0.125,0.466667,1,0.71,0,0,0,1,0,0,0,0,0,1
11,10,11,18,19,5,3,1,1,1,0,0.618182,1,0.2,0,0,0.75,1,0.71,0,0,0,0,0,0,0,0,0,0
14,13,19,23,39,3,1,1,1,2,0,0.980392,1,1,2,1,2.666667,1,1,2,2,2,1,0,0,0,0,1,0
16,12,13,18,28,3,0,3,0,1,0,0.98,1,1,1,1,1,1,1,0,2,1,1,0,0,0,0,0,0
