@relation FeatureVectors

@attribute sourceLine numeric
@attribute uniOPERATORCount numeric
@attribute uniOperandCount numeric
@attribute totalOPERATORCount numeric
@attribute totalOperandCount numeric
@attribute totalMethodInvocCount numeric
@attribute libraryMethodInvocCount numeric
@attribute localMethodInvocCount numeric
@attribute otherMethodInvocCount numeric
@attribute totalParameterCount numeric
@attribute isLocalClone numeric
@attribute simFileName numeric
@attribute simMaskedFileName numeric
@attribute simMethodName numeric
@attribute simTotalParaName numeric
@attribute simMaxParaName numeric
@attribute simTotalParaType numeric
@attribute isSameBlockInfo numeric
@attribute simCloneFragments numeric
@attribute this_or_super numeric
@attribute assignment numeric
@attribute identifier numeric
@attribute if_then_statement numeric
@attribute if_then_else_statement numeric
@attribute switch_statement numeric
@attribute while_statement numeric
@attribute do_statement numeric
@attribute for_statement numeric
@attribute consistency numeric

@data
97,41,22,197,104,39,17,22,0,17,1,1,0,1,1.111111,1,1.071429,1,0.79,0,5,12,6,4,0,2,0,1,0
19,15,7,30,14,5,0,5,0,2,1,1,0,1,1,1,1,0,0.71,0,1,2,1,1,0,1,0,0,0
18,16,8,29,16,4,0,4,0,2,1,1,0,1,2.222222,1,2.142857,0,0.76,0,1,3,1,1,0,0,0,1,0
17,16,8,35,15,8,6,2,0,4,1,1,0,1,2.222222,1,3.154762,1,0.7,0,2,1,1,1,0,0,0,1,0
13,9,9,14,12,4,0,4,0,4,1,1,0,1,1.2,1,1.25,1,0.9,1,0,0,0,0,0,0,0,0,0
12,10,6,22,16,4,0,4,0,2,1,1,0,1,1,1,2,1,0.9,0,0,0,2,0,0,0,0,0,0
14,10,8,12,10,1,0,1,0,0,1,1,0,1,1,1,1,0,0.7,0,1,2,1,0,0,0,0,0,0
14,10,8,12,10,1,0,1,0,0,1,1,0,1,1,1,1,0,0.7,0,1,2,1,0,0,0,0,0,0
44,14,18,34,89,7,6,1,0,13,1,1,0,0.75,1,1,1,1,0.7,0,0,0,0,0,0,0,0,0,0
44,14,18,34,89,7,6,1,0,13,1,1,0,0.75,1,1,1,1,0.7,0,0,0,0,0,0,0,0,0,0
44,14,18,34,89,7,6,1,0,13,1,1,0,0.75,1,1,1,1,0.7,0,0,0,0,0,0,0,0,0,0
13,6,10,20,27,3,0,3,0,3,0,0.805556,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0
15,11,11,16,15,2,1,1,0,6,0,0.805556,1,1,3,1,3.111111,1,0.9,0,0,1,1,0,0,0,0,0,0
61,24,21,76,117,7,0,7,0,20,0,0.805556,1,1,6.555556,1,6.827381,1,0.95,12,5,4,2,0,0,0,0,0,0
