@relation FeatureVectors

@attribute sourceLine numeric
@attribute uniOPERATORCount numeric
@attribute uniOperandCount numeric
@attribute totalOPERATORCount numeric
@attribute totalOperandCount numeric
@attribute totalMethodInvocCount numeric
@attribute libraryMethodInvocCount numeric
@attribute localMethodInvocCount numeric
@attribute otherMethodInvocCount numeric
@attribute totalParameterCount numeric
@attribute isLocalClone numeric
@attribute simFileName numeric
@attribute simMaskedFileName numeric
@attribute simMethodName numeric
@attribute simTotalParaName numeric
@attribute simMaxParaName numeric
@attribute simTotalParaType numeric
@attribute isSameBlockInfo numeric
@attribute simCloneFragments numeric
@attribute this_or_super numeric
@attribute assignment numeric
@attribute identifier numeric
@attribute if_then_statement numeric
@attribute if_then_else_statement numeric
@attribute switch_statement numeric
@attribute while_statement numeric
@attribute do_statement numeric
@attribute for_statement numeric
@attribute consistency numeric

@data
10,13,14,31,22,6,5,0,1,2,0,0.571429,1,0.2,0,0,0,0,0.7,0,0,1,2,0,0,0,0,0,0
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,9,11,14,13,2,0,1,1,3,0,0.622222,1,0.1,0.125,0.125,0.125,0,0.7,0,0,2,1,0,0,0,0,0,1
9,11,9,29,14,6,4,2,0,2,1,1,0,1,1,1,1,1,0.72,0,0,1,0,0,0,0,0,0,0
9,11,9,29,14,6,4,2,0,2,1,1,0,1,1,1,1,1,0.72,0,0,1,0,0,0,0,0,0,0
9,11,9,29,14,6,4,2,0,2,1,1,0,1,1,1,1,1,0.72,0,0,1,0,0,0,0,0,0,0
9,11,9,29,14,6,4,2,0,2,1,1,0,1,1,1,1,1,0.72,0,0,1,0,0,0,0,0,0,0
9,11,9,29,14,6,4,2,0,2,1,1,0,1,1,1,1,1,0.72,0,0,1,0,0,0,0,0,0,0
