@relation FeatureVectors

@attribute sourceLine numeric
@attribute uniOPERATORCount numeric
@attribute uniOperandCount numeric
@attribute totalOPERATORCount numeric
@attribute totalOperandCount numeric
@attribute totalMethodInvocCount numeric
@attribute libraryMethodInvocCount numeric
@attribute localMethodInvocCount numeric
@attribute otherMethodInvocCount numeric
@attribute totalParameterCount numeric
@attribute isLocalClone numeric
@attribute simFileName numeric
@attribute simMaskedFileName numeric
@attribute simMethodName numeric
@attribute simTotalParaName numeric
@attribute simMaxParaName numeric
@attribute simTotalParaType numeric
@attribute isSameBlockInfo numeric
@attribute simCloneFragments numeric
@attribute this_or_super numeric
@attribute assignment numeric
@attribute identifier numeric
@attribute if_then_statement numeric
@attribute if_then_else_statement numeric
@attribute switch_statement numeric
@attribute while_statement numeric
@attribute do_statement numeric
@attribute for_statement numeric
@attribute consistency numeric

@data
23,19,20,43,34,5,5,0,0,7,1,1,0,0.666667,6.954726,1,5.462121,1,0.78,2,0,4,2,0,0,0,0,0,0
32,17,24,50,40,3,1,2,0,7,0,0.814815,1,1,2.545455,1,2.545455,0,0.7,0,1,3,5,0,1,0,0,0,0
27,19,17,38,35,4,1,3,0,9,0,0.896552,1,0.727273,3.545455,1,4.353535,1,0.79,2,0,2,0,0,1,0,0,0,1
16,17,19,35,31,7,5,2,0,11,0,0.896552,1,1,3.545455,1,4.353535,1,0.84,1,1,2,0,1,0,0,0,0,0
17,18,16,38,25,5,4,1,0,3,0,0.896552,1,1,3.545455,1,4.353535,1,0.91,2,1,3,1,0,0,0,0,0,0
15,13,20,24,27,2,1,1,0,3,0,0.285714,1,0.1,1.323232,0.444444,0.579545,0,0.7,0,0,2,1,0,0,0,0,0,1
15,13,20,24,27,2,1,1,0,3,0,0.285714,1,0.1,1.323232,0.444444,0.579545,0,0.7,0,0,2,1,0,0,0,0,0,1
15,13,20,24,27,2,1,1,0,3,0,0.285714,1,0.1,1.323232,0.444444,0.579545,0,0.7,0,0,2,1,0,0,0,0,0,1
15,13,20,24,27,2,1,1,0,3,0,0.285714,1,0.1,1.323232,0.444444,0.579545,0,0.7,0,0,2,1,0,0,0,0,0,1
15,13,20,24,27,2,1,1,0,3,0,0.285714,1,0.1,1.323232,0.444444,0.579545,0,0.7,0,0,2,1,0,0,0,0,0,1
15,13,20,24,27,2,1,1,0,3,0,0.285714,1,0.1,1.323232,0.444444,0.579545,0,0.7,0,0,2,1,0,0,0,0,0,1
15,13,20,24,27,2,1,1,0,3,0,0.285714,1,0.1,1.323232,0.444444,0.579545,0,0.7,0,0,2,1,0,0,0,0,0,1
15,13,20,24,27,2,1,1,0,3,0,0.285714,1,0.1,1.323232,0.444444,0.579545,0,0.7,0,0,2,1,0,0,0,0,0,1
15,13,20,24,27,2,1,1,0,3,0,0.285714,1,0.1,1.323232,0.444444,0.579545,0,0.7,0,0,2,1,0,0,0,0,0,1
15,13,20,24,27,2,1,1,0,3,0,0.285714,1,0.1,1.323232,0.444444,0.579545,0,0.7,0,0,2,1,0,0,0,0,0,1
15,13,20,24,27,2,1,1,0,3,0,0.285714,1,0.1,1.323232,0.444444,0.579545,0,0.7,0,0,2,1,0,0,0,0,0,1
15,13,20,24,27,2,1,1,0,3,0,0.285714,1,0.1,1.323232,0.444444,0.579545,0,0.7,0,0,2,1,0,0,0,0,0,1
15,13,20,24,27,2,1,1,0,3,0,0.285714,1,0.1,1.323232,0.444444,0.579545,0,0.7,0,0,2,1,0,0,0,0,0,1
15,13,20,24,27,2,1,1,0,3,0,0.285714,1,0.1,1.323232,0.444444,0.579545,0,0.7,0,0,2,1,0,0,0,0,0,1
15,13,20,24,27,2,1,1,0,3,0,0.285714,1,0.1,1.323232,0.444444,0.579545,0,0.7,0,0,2,1,0,0,0,0,0,1
47,14,47,56,85,4,0,4,0,1,1,1,0,0.1,1,1,1,0,0.7,0,1,3,0,0,1,0,0,0,0
47,14,47,56,85,4,0,4,0,1,1,1,0,0.1,1,1,1,0,0.7,0,1,3,0,0,1,0,0,0,0
47,14,47,56,85,4,0,4,0,1,1,1,0,0.1,1,1,1,0,0.7,0,1,3,0,0,1,0,0,0,0
47,14,47,56,85,4,0,4,0,1,1,1,0,0.1,1,1,1,0,0.7,0,1,3,0,0,1,0,0,0,0
47,14,47,56,85,4,0,4,0,1,1,1,0,0.1,1,1,1,0,0.7,0,1,3,0,0,1,0,0,0,0
47,14,47,56,85,4,0,4,0,1,1,1,0,0.1,1,1,1,0,0.7,0,1,3,0,0,1,0,0,0,0
47,14,47,56,85,4,0,4,0,1,1,1,0,0.1,1,1,1,0,0.7,0,1,3,0,0,1,0,0,0,0
47,14,47,56,85,4,0,4,0,1,1,1,0,0.1,1,1,1,0,0.7,0,1,3,0,0,1,0,0,0,0
47,14,47,56,85,4,0,4,0,1,1,1,0,0.1,1,1,1,0,0.7,0,1,3,0,0,1,0,0,0,0
47,14,47,56,85,4,0,4,0,1,1,1,0,0.1,1,1,1,0,0.7,0,1,3,0,0,1,0,0,0,0
47,14,47,56,85,4,0,4,0,1,1,1,0,0.1,1,1,1,0,0.7,0,1,3,0,0,1,0,0,0,0
47,14,47,56,85,4,0,4,0,1,1,1,0,0.1,1,1,1,0,0.7,0,1,3,0,0,1,0,0,0,0
47,14,47,56,85,4,0,4,0,1,1,1,0,0.1,1,1,1,0,0.7,0,1,3,0,0,1,0,0,0,0
