@relation FeatureVectors

@attribute sourceLine numeric
@attribute uniOPERATORCount numeric
@attribute uniOperandCount numeric
@attribute totalOPERATORCount numeric
@attribute totalOperandCount numeric
@attribute totalMethodInvocCount numeric
@attribute libraryMethodInvocCount numeric
@attribute localMethodInvocCount numeric
@attribute otherMethodInvocCount numeric
@attribute totalParameterCount numeric
@attribute isLocalClone numeric
@attribute simFileName numeric
@attribute simMaskedFileName numeric
@attribute simMethodName numeric
@attribute simTotalParaName numeric
@attribute simMaxParaName numeric
@attribute simTotalParaType numeric
@attribute isSameBlockInfo numeric
@attribute simCloneFragments numeric
@attribute this_or_super numeric
@attribute assignment numeric
@attribute identifier numeric
@attribute if_then_statement numeric
@attribute if_then_else_statement numeric
@attribute switch_statement numeric
@attribute while_statement numeric
@attribute do_statement numeric
@attribute for_statement numeric
@attribute consistency numeric

@data
17,5,18,34,44,0,0,0,0,0,0,0.891892,1,0,11.806387,0.5,15.204764,1,0.71,12,12,0,0,0,0,0,0,0,0
17,17,21,45,37,9,7,1,1,2,0,0.772727,1,0.35,0.25,0.25,0.181818,0,0.7,1,1,1,1,0,0,1,0,0,1
17,17,21,45,37,9,7,1,1,2,0,0.772727,1,0.35,0.25,0.25,0.181818,0,0.7,1,1,1,1,0,0,1,0,0,1
17,17,21,45,37,9,7,1,1,2,0,0.772727,1,0.35,0.25,0.25,0.181818,0,0.7,1,1,1,1,0,0,1,0,0,1
17,17,21,45,37,9,7,1,1,2,0,0.772727,1,0.35,0.25,0.25,0.181818,0,0.7,1,1,1,1,0,0,1,0,0,1
30,20,22,88,81,13,8,0,5,13,0,0.865672,1,1,1,1,1,1,0.85,1,5,6,0,0,0,0,0,3,0
30,18,27,65,72,6,2,0,4,3,1,1,0,0.904762,1,1,1,1,0.96,0,1,4,1,3,0,0,0,2,0
18,17,20,47,47,5,2,0,3,3,1,1,0,0.904762,1,1,1,0,0.777778,0,1,2,1,0,0,0,0,2,0
18,17,20,47,47,5,2,0,3,3,1,1,0,0.904762,1,1,1,0,0.777778,0,1,2,1,0,0,0,0,2,0
18,17,20,47,47,5,2,0,3,3,1,1,0,0.904762,1,1,1,0,0.777778,0,1,2,1,0,0,0,0,2,0
18,17,20,47,47,5,2,0,3,3,1,1,0,0.904762,1,1,1,0,0.777778,0,1,2,1,0,0,0,0,2,0
18,17,20,47,47,5,2,0,3,3,1,1,0,0.904762,1,1,1,0,0.777778,0,1,2,1,0,0,0,0,2,0
46,24,32,114,109,14,7,0,7,5,1,1,0,0.9,1,1,1,1,0.95,0,2,4,2,3,0,1,0,3,0
19,13,8,45,21,11,6,5,0,5,0,0.627119,1,1,1,1,1,1,0.72,0,0,5,1,4,0,0,0,0,0
49,37,33,146,96,34,22,5,7,24,0,0.904762,1,1,2,1,2.363636,1,0.78,4,1,2,2,0,0,0,0,1,0
49,37,33,146,96,34,22,5,7,24,0,0.904762,1,1,2,1,2.363636,1,0.78,4,1,2,2,0,0,0,0,1,0
42,36,32,138,93,32,19,6,7,21,0,0.86,1,1,2,1,2.363636,1,0.96,2,1,2,2,0,0,1,0,0,0
105,43,49,251,217,39,11,2,26,34,0,0.86,1,1,1,1,1,1,0.98,0,18,15,5,7,0,1,0,1,0
12,11,13,29,25,5,0,0,5,6,1,1,0,1,1,1,1,1,0.72,0,4,2,1,1,0,0,0,0,0
12,11,13,29,25,5,0,0,5,6,1,1,0,1,1,1,1,1,0.72,0,4,2,1,1,0,0,0,0,0
12,11,13,29,25,5,0,0,5,6,1,1,0,1,1,1,1,1,0.72,0,4,2,1,1,0,0,0,0,0
12,11,13,29,25,5,0,0,5,6,1,1,0,1,1,1,1,1,0.72,0,4,2,1,1,0,0,0,0,0
12,11,13,29,25,5,0,0,5,6,1,1,0,1,1,1,1,1,0.72,0,4,2,1,1,0,0,0,0,0
16,14,24,40,45,6,4,2,0,9,0,0.909091,1,1,3,1,3.545455,1,0.71,3,1,1,1,0,0,0,0,0,1
16,14,24,40,45,6,4,2,0,9,0,0.909091,1,1,3,1,3.545455,1,0.71,3,1,1,1,0,0,0,0,0,1
16,14,24,40,45,6,4,2,0,9,0,0.909091,1,1,3,1,3.545455,1,0.71,3,1,1,1,0,0,0,0,0,1
