@relation FeatureVectors

@attribute sourceLine numeric
@attribute uniOPERATORCount numeric
@attribute uniOperandCount numeric
@attribute totalOPERATORCount numeric
@attribute totalOperandCount numeric
@attribute totalMethodInvocCount numeric
@attribute libraryMethodInvocCount numeric
@attribute localMethodInvocCount numeric
@attribute otherMethodInvocCount numeric
@attribute totalParameterCount numeric
@attribute isLocalClone {0,1}
@attribute simFileName numeric
@attribute simMaskedFileName numeric
@attribute simMethodName numeric
@attribute simTotalParaName numeric
@attribute simMaxParaName numeric
@attribute simTotalParaType numeric
@attribute isSameBlockInfo {0,1}
@attribute simCloneFragments numeric
@attribute this_or_super numeric
@attribute assignment numeric
@attribute identifier numeric
@attribute if_then_statement numeric
@attribute if_then_else_statement numeric
@attribute switch_statement numeric
@attribute while_statement numeric
@attribute do_statement numeric
@attribute for_statement numeric
@attribute consistency {0,1}

@data
19,17,19,52,34,11,6,4,1,2,1,1,0,0.857143,1,1,1,1,0.85,0,0,1,0,1,0,0,0,2,1
19,17,19,52,34,11,6,4,1,2,1,1,0,0.857143,1,1,1,1,0.85,0,0,1,0,1,0,0,0,2,1
17,19,20,49,42,7,5,0,2,5,0,0.71875,1,1,1,1,1,1,1,0,0,3,0,2,0,0,0,0,0
15,17,17,60,40,11,6,2,3,7,1,1,0,1,3.571428,1,5.571428,0,0.87,0,0,2,1,1,0,0,0,0,0
15,14,18,35,28,7,2,4,1,4,1,1,0,0,1,1,0,1,0.8,0,0,1,0,1,0,0,0,0,1
12,17,24,32,35,2,2,0,0,1,0,0.793103,1,0.6,2.333333,1,2.148148,1,0.71,0,0,3,1,0,0,0,0,1,1
12,17,24,32,35,2,2,0,0,1,0,0.793103,1,0.6,2.333333,1,2.148148,1,0.71,0,0,3,1,0,0,0,0,1,1
12,17,24,32,35,2,2,0,0,1,0,0.793103,1,0.6,2.333333,1,2.148148,1,0.71,0,0,3,1,0,0,0,0,1,1
14,17,17,39,28,8,3,5,0,3,1,1,0,0,1,0.571429,0,1,0.85,0,1,1,0,0,0,0,0,1,1
14,17,17,39,28,8,3,5,0,3,1,1,0,0,1,0.571429,0,1,0.85,0,1,1,0,0,0,0,0,1,1
14,17,17,39,28,8,3,5,0,3,1,1,0,0,1,0.571429,0,1,0.85,0,1,1,0,0,0,0,0,1,1
14,17,17,39,28,8,3,5,0,3,1,1,0,0,1,0.571429,0,1,0.85,0,1,1,0,0,0,0,0,1,1
14,17,17,39,28,8,3,5,0,3,1,1,0,0,1,0.571429,0,1,0.85,0,1,1,0,0,0,0,0,1,1
14,17,17,39,28,8,3,5,0,3,1,1,0,0,1,0.571429,0,1,0.85,0,1,1,0,0,0,0,0,1,1
14,17,17,39,28,8,3,5,0,3,1,1,0,0,1,0.571429,0,1,0.85,0,1,1,0,0,0,0,0,1,1
14,17,17,39,28,8,3,5,0,3,1,1,0,0,1,0.571429,0,1,0.85,0,1,1,0,0,0,0,0,1,1
14,17,17,39,28,8,3,5,0,3,1,1,0,0,1,0.571429,0,1,0.85,0,1,1,0,0,0,0,0,1,1
14,17,17,39,28,8,3,5,0,3,1,1,0,0,1,0.571429,0,1,0.85,0,1,1,0,0,0,0,0,1,1
11,13,14,24,23,2,0,1,1,1,1,1,0,0.785714,1,1,1,1,0.75,0,0,4,1,1,0,0,0,0,1
13,14,17,30,28,4,1,0,3,3,1,1,0,0.529412,1,1,1,1,0.72,0,0,4,0,0,0,0,0,0,1
13,14,17,30,28,4,1,0,3,3,1,1,0,0.529412,1,1,1,1,0.72,0,0,4,0,0,0,0,0,0,1
10,13,13,26,19,6,1,3,2,5,1,1,0,0.6,1,1,1,1,0.72,0,0,3,0,0,0,0,0,0,1
10,15,15,31,21,6,2,3,1,4,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
10,10,13,21,24,3,0,3,0,5,0,0.8,1,0.814815,2.4,1,2.266667,1,0.72,0,0,0,1,1,0,0,0,0,1
12,11,8,19,10,4,0,2,2,2,0,0.833333,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
12,11,8,19,10,4,0,2,2,2,0,0.833333,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
9,13,12,29,22,4,2,2,0,0,0,0.8,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1
