@relation FeatureVectors

@attribute sourceLine numeric
@attribute uniOPERATORCount numeric
@attribute uniOperandCount numeric
@attribute totalOPERATORCount numeric
@attribute totalOperandCount numeric
@attribute totalMethodInvocCount numeric
@attribute libraryMethodInvocCount numeric
@attribute localMethodInvocCount numeric
@attribute otherMethodInvocCount numeric
@attribute totalParameterCount numeric
@attribute isLocalClone numeric
@attribute simFileName numeric
@attribute simMaskedFileName numeric
@attribute simMethodName numeric
@attribute simTotalParaName numeric
@attribute simMaxParaName numeric
@attribute simTotalParaType numeric
@attribute isSameBlockInfo numeric
@attribute simCloneFragments numeric
@attribute this_or_super numeric
@attribute assignment numeric
@attribute identifier numeric
@attribute if_then_statement numeric
@attribute if_then_else_statement numeric
@attribute switch_statement numeric
@attribute while_statement numeric
@attribute do_statement numeric
@attribute for_statement numeric
@attribute consistency numeric

@data
19,16,28,45,43,3,3,0,0,3,0,0.62963,1,1,9.228571,1,10.70909,1,1,1,2,14,1,0,0,0,0,0,0
19,15,20,41,29,8,7,1,0,6,0,0.62963,1,1,7.328571,1,7.988235,1,1,1,3,5,1,1,0,0,0,0,0
12,13,17,28,25,4,4,0,0,1,0,0.666667,1,1,9.228571,1,10.70909,1,1,1,4,3,2,0,0,0,0,0,1
12,13,17,28,25,4,4,0,0,1,0,0.666667,1,1,9.228571,1,10.70909,1,1,1,4,3,2,0,0,0,0,0,1
12,13,17,28,25,4,4,0,0,1,0,0.666667,1,1,9.228571,1,10.70909,1,1,1,4,3,2,0,0,0,0,0,1
16,11,15,44,28,11,8,1,2,12,0,0.666667,1,1,1,1,1,1,1,0,0,8,2,0,0,0,0,0,1
16,11,15,44,28,11,8,1,2,12,0,0.666667,1,1,1,1,1,1,1,0,0,8,2,0,0,0,0,0,1
16,11,15,44,28,11,8,1,2,12,0,0.666667,1,1,1,1,1,1,1,0,0,8,2,0,0,0,0,0,1
13,12,16,28,28,5,1,0,4,4,0,0.85,1,1,1,1,1,1,0.75,0,0,2,1,0,0,0,0,0,1
13,12,16,28,28,5,1,0,4,4,0,0.85,1,1,1,1,1,1,0.75,0,0,2,1,0,0,0,0,0,1
13,12,16,28,28,5,1,0,4,4,0,0.85,1,1,1,1,1,1,0.75,0,0,2,1,0,0,0,0,0,1
13,12,16,28,28,5,1,0,4,4,0,0.85,1,1,1,1,1,1,0.75,0,0,2,1,0,0,0,0,0,1
13,12,16,28,28,5,1,0,4,4,0,0.85,1,1,1,1,1,1,0.75,0,0,2,1,0,0,0,0,0,1
13,12,16,28,28,5,1,0,4,4,0,0.85,1,1,1,1,1,1,0.75,0,0,2,1,0,0,0,0,0,1
13,12,16,28,28,5,1,0,4,4,0,0.85,1,1,1,1,1,1,0.75,0,0,2,1,0,0,0,0,0,1
11,13,14,24,21,3,2,1,0,2,0,0.48,1,1,1,1,1,1,0.9,0,0,2,1,0,0,0,0,0,1
11,13,14,24,21,3,2,1,0,2,0,0.48,1,1,1,1,1,1,0.9,0,0,2,1,0,0,0,0,0,1
11,13,14,24,21,3,2,1,0,2,0,0.48,1,1,1,1,1,1,0.9,0,0,2,1,0,0,0,0,0,1
11,13,14,24,21,3,2,1,0,2,0,0.48,1,1,1,1,1,1,0.9,0,0,2,1,0,0,0,0,0,1
11,13,14,24,21,3,2,1,0,2,0,0.48,1,1,1,1,1,1,0.9,0,0,2,1,0,0,0,0,0,1
11,13,14,24,21,3,2,1,0,2,0,0.48,1,1,1,1,1,1,0.9,0,0,2,1,0,0,0,0,0,1
11,13,14,24,21,3,2,1,0,2,0,0.48,1,1,1,1,1,1,0.9,0,0,2,1,0,0,0,0,0,1
11,13,14,24,21,3,2,1,0,2,0,0.48,1,1,1,1,1,1,0.9,0,0,2,1,0,0,0,0,0,1
11,13,14,24,21,3,2,1,0,2,0,0.48,1,1,1,1,1,1,0.9,0,0,2,1,0,0,0,0,0,1
11,13,14,24,21,3,2,1,0,2,0,0.48,1,1,1,1,1,1,0.9,0,0,2,1,0,0,0,0,0,1
11,13,14,24,21,3,2,1,0,2,0,0.48,1,1,1,1,1,1,0.9,0,0,2,1,0,0,0,0,0,1
54,34,40,131,109,21,9,2,10,16,0,0.565217,1,1,5.166667,1,6.5,1,1,0,8,9,5,0,0,2,0,0,0
17,17,27,39,43,7,6,1,0,8,0,0.565217,1,1,3,1,3.25,1,1,0,1,6,0,0,0,0,0,1,0
26,17,22,48,48,4,2,0,2,1,0,0.6875,1,1,1,1,1,1,1,0,1,8,2,0,0,1,0,0,0
26,17,22,48,48,4,2,0,2,1,0,0.6875,1,1,1,1,1,1,1,0,1,8,2,0,0,1,0,0,0
26,17,22,48,48,4,2,0,2,1,0,0.6875,1,1,1,1,1,1,1,0,1,8,2,0,0,1,0,0,0
11,13,19,35,40,2,0,0,2,2,0,0.615385,1,1,1,1,1,1,1,0,4,10,2,0,0,0,0,1,1
10,14,20,46,43,2,0,0,2,0,0,0.615385,1,1,1,1,1,1,1,0,4,12,0,0,0,0,0,1,1
11,16,15,33,25,5,3,1,1,4,0,0.615385,1,1,1,1,1,1,1,0,1,3,1,0,0,0,0,1,0
15,17,12,64,26,17,9,5,3,12,0,0.615385,1,1,1,1,1,1,1,0,0,11,0,0,0,0,0,1,0
11,10,7,28,16,7,6,1,0,5,0,0.677419,1,1,1,1,1,1,1,0,0,5,1,0,0,0,0,0,0
15,20,14,42,39,5,5,0,0,5,0,0.545455,1,1,1,1,1,1,1,0,3,10,2,1,0,0,0,1,0
20,20,18,68,46,14,12,2,0,10,0,0.545455,1,1,1,1,1,1,1,0,1,10,3,1,0,1,0,0,0
16,19,15,52,39,10,10,0,0,8,0,0.545455,1,1,4.45,1,7.333333,1,1,0,1,4,1,1,0,0,0,1,0
13,15,19,40,41,5,1,1,3,5,0,0.62963,1,1,1,1,1,1,1,0,2,3,0,0,0,0,0,2,1
12,13,19,36,40,5,3,1,1,5,0,0.62963,1,1,1,1,1,1,1,0,0,4,1,0,0,0,0,2,1
21,19,22,66,44,13,9,1,3,10,0,0.62963,1,1,1,1,1,1,1,0,0,8,1,1,0,1,0,0,1
54,25,29,104,110,10,7,3,0,10,0,0.72973,1,1,1,1,1,1,1,0,5,15,4,7,0,2,0,0,0
54,25,29,104,110,10,7,3,0,10,0,0.72973,1,1,1,1,1,1,1,0,5,15,4,7,0,2,0,0,0
54,25,29,104,110,10,7,3,0,10,0,0.72973,1,1,1,1,1,1,1,0,5,15,4,7,0,2,0,0,0
32,21,22,72,55,13,8,2,3,9,0,0.583333,1,1,2,1,2,1,1,0,5,11,3,0,0,1,0,0,1
35,29,32,89,97,8,2,0,6,9,0,0.583333,1,1,2,1,2.363636,1,1,1,9,15,2,1,0,1,0,1,1
23,22,24,46,51,6,0,0,6,6,0,0.583333,1,1,2,1,2.26087,1,1,1,3,8,1,2,0,0,0,1,1
12,16,16,32,37,1,1,0,0,1,0,0.583333,1,1,1,1,1,1,1,0,0,6,3,0,0,0,0,1,0
15,22,25,54,50,4,3,1,0,1,0,0.655172,1,1,9.228571,1,10.70909,1,1,1,2,8,2,0,0,0,0,2,0
11,14,17,35,26,5,3,1,1,2,0,0.655172,1,1,7.328571,1,7.988235,1,1,1,2,1,1,0,0,1,0,0,0
12,15,12,37,23,8,4,3,1,5,0,0.655172,1,1,1,1,1,1,1,0,0,3,2,0,0,0,0,1,0
17,22,22,53,51,6,1,4,1,4,0,0.655172,1,1,1,1,1,1,1,0,2,13,2,0,0,0,0,1,1
17,3,17,45,31,15,0,15,0,30,0,0.6,1,1,1,1,1,1,1,0,0,15,0,0,0,0,0,0,0
39,16,31,62,77,7,5,1,1,6,1,1,0,0,7.333333,1,10.879143,1,0.76,0,5,7,0,0,0,0,0,0,1
39,16,31,62,77,7,5,1,1,6,1,1,0,0,7.333333,1,10.879143,1,0.76,0,5,7,0,0,0,0,0,0,1
39,16,31,62,77,7,5,1,1,6,1,1,0,0,7.333333,1,10.879143,1,0.76,0,5,7,0,0,0,0,0,0,1
15,11,18,20,30,1,0,1,0,7,0,0.615385,1,1,10.333333,1,12.599999,1,1,0,2,4,0,1,0,0,0,0,1
24,13,19,43,49,8,6,2,0,10,0,0.615385,1,1,3.857143,1,3.727273,1,1,0,8,0,1,0,0,0,0,0,1
16,12,17,34,28,8,6,2,0,9,0,0.615385,1,0.4,1.142857,1,1.217391,1,0.76,0,0,2,1,1,0,0,0,0,1
16,12,17,34,28,8,6,2,0,9,0,0.615385,1,0.4,1.142857,1,1.217391,1,0.76,0,0,2,1,1,0,0,0,0,1
16,12,17,34,28,8,6,2,0,9,0,0.615385,1,0.4,1.142857,1,1.217391,1,0.76,0,0,2,1,1,0,0,0,0,1
14,10,12,40,24,10,8,0,2,10,0,0.615385,1,1,1,1,1,1,1,0,0,4,1,0,0,0,0,0,1
11,10,11,19,15,4,3,1,0,3,0,0.529412,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
11,10,11,19,15,4,3,1,0,3,0,0.529412,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
11,10,11,19,15,4,3,1,0,3,0,0.529412,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
