@relation FeatureVectors

@attribute sourceLine numeric
@attribute uniOPERATORCount numeric
@attribute uniOperandCount numeric
@attribute totalOPERATORCount numeric
@attribute totalOperandCount numeric
@attribute totalMethodInvocCount numeric
@attribute libraryMethodInvocCount numeric
@attribute localMethodInvocCount numeric
@attribute otherMethodInvocCount numeric
@attribute totalParameterCount numeric
@attribute isLocalClone numeric
@attribute simFileName numeric
@attribute simMaskedFileName numeric
@attribute simMethodName numeric
@attribute simTotalParaName numeric
@attribute simMaxParaName numeric
@attribute simTotalParaType numeric
@attribute isSameBlockInfo numeric
@attribute simCloneFragments numeric
@attribute this_or_super numeric
@attribute assignment numeric
@attribute identifier numeric
@attribute if_then_statement numeric
@attribute if_then_else_statement numeric
@attribute switch_statement numeric
@attribute while_statement numeric
@attribute do_statement numeric
@attribute for_statement numeric
@attribute consistency numeric

@data
17,17,17,49,28,11,6,1,4,8,0,0.454545,1,0.1875,1,1,1,0,0.73,0,0,6,0,0,0,0,0,0,0
17,17,17,49,28,11,6,1,4,8,0,0.454545,1,0.1875,1,1,1,0,0.73,0,0,6,0,0,0,0,0,0,0
15,12,12,18,16,3,1,1,1,2,0,0.433962,1,0.142857,0,0,0,1,0.7,0,1,2,0,0,0,0,0,0,0
28,24,23,64,51,9,6,2,1,2,1,1,0,0.666667,1,1,1,1,0.73,0,3,3,1,0,0,1,0,0,0
11,14,13,24,25,3,1,1,1,5,1,1,0,1,1,1,1,0,0.81,0,1,7,2,0,0,0,0,0,0
12,8,9,10,9,1,1,0,0,1,0,0.638298,1,0.0625,1,1,1,0,0.7,0,0,0,0,0,0,0,1,0,0
12,8,9,10,9,1,1,0,0,1,0,0.638298,1,0.0625,1,1,1,0,0.7,0,0,0,0,0,0,0,1,0,0
12,8,9,10,9,1,1,0,0,1,0,0.638298,1,0.0625,1,1,1,0,0.7,0,0,0,0,0,0,0,1,0,0
12,8,9,10,9,1,1,0,0,1,0,0.638298,1,0.0625,1,1,1,0,0.7,0,0,0,0,0,0,0,1,0,0
12,8,9,10,9,1,1,0,0,1,0,0.638298,1,0.0625,1,1,1,0,0.7,0,0,0,0,0,0,0,1,0,0
12,8,9,10,9,1,1,0,0,1,0,0.638298,1,0.0625,1,1,1,0,0.7,0,0,0,0,0,0,0,1,0,0
