@relation FeatureVectors

@attribute sourceLine numeric
@attribute uniOPERATORCount numeric
@attribute uniOperandCount numeric
@attribute totalOPERATORCount numeric
@attribute totalOperandCount numeric
@attribute totalMethodInvocCount numeric
@attribute libraryMethodInvocCount numeric
@attribute localMethodInvocCount numeric
@attribute otherMethodInvocCount numeric
@attribute totalParameterCount numeric
@attribute isLocalClone numeric
@attribute simFileName numeric
@attribute simMaskedFileName numeric
@attribute simMethodName numeric
@attribute simTotalParaName numeric
@attribute simMaxParaName numeric
@attribute simTotalParaType numeric
@attribute isSameBlockInfo numeric
@attribute simCloneFragments numeric
@attribute this_or_super numeric
@attribute assignment numeric
@attribute identifier numeric
@attribute if_then_statement numeric
@attribute if_then_else_statement numeric
@attribute switch_statement numeric
@attribute while_statement numeric
@attribute do_statement numeric
@attribute for_statement numeric
@attribute consistency numeric

@data
122,55,67,412,299,81,67,5,9,43,0,0.927536,1,1,1,1,1,1,0.85,0,7,30,5,2,0,1,0,0,1
122,48,64,282,216,64,3,45,16,31,0,0.98,1,1,1,1,1,1,0.76,0,4,34,3,1,0,0,0,8,1
122,48,64,282,216,64,3,45,16,31,0,0.98,1,1,1,1,1,1,0.76,0,4,34,3,1,0,0,0,8,1
91,39,59,239,160,54,17,15,22,33,0,0.98,1,1,7.009804,1,11,1,0.92,0,0,47,8,0,1,0,0,1,1
91,39,59,239,160,54,17,15,22,33,0,0.98,1,1,7.009804,1,11,1,0.92,0,0,47,8,0,1,0,0,1,1
109,48,39,240,143,70,18,36,16,44,0,0.980392,1,1,1,1,1,1,0.89,3,4,30,5,0,0,0,0,4,1
68,37,29,229,129,47,18,3,26,15,0,0.980392,1,1,1,1,1,1,1,0,5,9,10,0,0,2,0,2,0
55,28,25,160,128,21,14,7,0,21,0,0.633333,1,0.181818,0,0,0,1,0.7,20,6,4,0,0,0,0,0,0,1
66,37,38,173,116,36,18,9,9,13,0,0.980392,1,1,5.015873,1,5.922078,1,0.81,0,7,23,10,1,0,0,0,2,1
51,42,34,164,88,36,19,13,4,10,0,0.857143,1,1,1,1,1,1,0.79,0,2,8,7,0,0,0,0,0,1
51,42,34,164,88,36,19,13,4,10,0,0.857143,1,1,1,1,1,1,0.79,0,2,8,7,0,0,0,0,0,1
58,24,30,121,100,14,0,11,3,5,0,0.98,1,1,2.352941,1,2.461538,1,0.77,0,4,34,11,0,0,0,0,0,0
